tripduration,starttime,stoptime,start station id,end station id,bikeid,usertype,birth year,gender
1396,2018-12-01 00:05:21.9670,2018-12-01 00:28:38.8780,68,159,3854,Subscriber,1996,1
886,2018-12-01 00:06:48.9580,2018-12-01 00:21:35.8570,352,76,2663,Subscriber,1967,1
279,2018-12-01 00:08:00.2330,2018-12-01 00:12:39.3830,68,88,332,Subscriber,1987,1
593,2018-12-01 00:08:40.9580,2018-12-01 00:18:34.6470,79,116,4116,Subscriber,1988,1
333,2018-12-01 00:10:14.3630,2018-12-01 00:15:47.4780,68,107,2292,Subscriber,1992,1
498,2018-12-01 00:12:06.0660,2018-12-01 00:20:24.9660,68,105,3754,Subscriber,1985,1
162,2018-12-01 00:12:46.0610,2018-12-01 00:15:28.5800,89,74,3523,Subscriber,1988,1
193,2018-12-01 00:12:48.8070,2018-12-01 00:16:02.0740,108,74,840,Subscriber,1977,1
616,2018-12-01 00:13:37.2960,2018-12-01 00:23:53.5730,73,78,3456,Subscriber,1996,2
1140,2018-12-01 00:13:41.2930,2018-12-01 00:32:41.6730,137,71,3123,Customer,1991,2
274,2018-12-01 00:16:12.0230,2018-12-01 00:20:46.2980,73,180,2297,Subscriber,1969,0
938,2018-12-01 00:16:52.2680,2018-12-01 00:32:30.3730,33,226,3425,Subscriber,1963,1
998,2018-12-01 00:16:59.3330,2018-12-01 00:33:37.4420,137,71,3699,Customer,1995,1
896,2018-12-01 00:20:44.5890,2018-12-01 00:35:41.2350,68,46,3996,Subscriber,1989,2
314,2018-12-01 00:22:47.2980,2018-12-01 00:28:02.2190,74,87,2074,Subscriber,1977,1
620,2018-12-01 00:23:23.6380,2018-12-01 00:33:44.4800,89,221,4064,Subscriber,1991,1
1837,2018-12-01 00:23:32.1230,2018-12-01 00:54:09.5840,374,29,2075,Subscriber,1997,1
1125,2018-12-01 00:25:40.2970,2018-12-01 00:44:25.6840,74,239,2439,Subscriber,1990,1
1286,2018-12-01 00:25:39.0490,2018-12-01 00:47:05.4290,233,82,3589,Subscriber,1989,1
363,2018-12-01 00:28:53.4520,2018-12-01 00:34:57.4390,76,95,4070,Subscriber,1992,1
544,2018-12-01 00:42:00.1070,2018-12-01 00:51:04.4720,116,189,3772,Subscriber,1991,2
284,2018-12-01 00:48:12.5300,2018-12-01 00:52:57.3840,12,56,3800,Subscriber,1994,1
1262,2018-12-01 01:01:19.3230,2018-12-01 01:22:21.8200,49,27,3515,Subscriber,1997,1
865,2018-12-01 01:06:38.0760,2018-12-01 01:21:03.4270,21,41,3466,Subscriber,1995,1
805,2018-12-01 01:06:52.7060,2018-12-01 01:20:18.3810,80,99,3638,Subscriber,1992,1
473,2018-12-01 01:06:58.8070,2018-12-01 01:14:52.5750,95,68,4083,Subscriber,1967,1
1293,2018-12-01 01:07:21.4010,2018-12-01 01:28:54.5860,36,41,2380,Subscriber,1999,1
351,2018-12-01 01:15:27.8790,2018-12-01 01:21:19.4770,73,149,3295,Subscriber,1975,1
173,2018-12-01 01:18:53.0300,2018-12-01 01:21:46.9970,225,116,3833,Subscriber,1991,1
1194,2018-12-01 01:23:16.8780,2018-12-01 01:43:11.0500,342,66,3540,Subscriber,1993,1
348,2018-12-01 01:24:59.1130,2018-12-01 01:30:47.6890,76,87,3210,Subscriber,1984,2
1400,2018-12-01 01:28:58.9760,2018-12-01 01:52:19.7230,23,30,4062,Subscriber,1992,1
409,2018-12-01 01:30:08.8610,2018-12-01 01:36:58.6520,87,108,2748,Subscriber,1992,1
532,2018-12-01 01:31:05.3380,2018-12-01 01:39:57.3720,14,69,1614,Subscriber,1989,1
912,2018-12-01 01:31:42.2030,2018-12-01 01:46:54.9820,33,8,4184,Customer,1969,0
296,2018-12-01 01:33:08.1880,2018-12-01 01:38:04.9310,67,68,3675,Subscriber,1995,1
1486,2018-12-01 01:37:50.2430,2018-12-01 02:02:36.3140,19,224,3619,Subscriber,1998,1
684,2018-12-01 01:40:48.4030,2018-12-01 01:52:13.1000,68,90,685,Subscriber,1994,2
2467,2018-12-01 01:42:28.7420,2018-12-01 02:23:36.3720,369,193,2647,Customer,1969,0
438,2018-12-01 01:42:52.9130,2018-12-01 01:50:11.6390,74,76,4094,Customer,1969,0
463,2018-12-01 01:42:58.1240,2018-12-01 01:50:41.6280,74,76,2868,Customer,1969,0
380,2018-12-01 01:43:34.8560,2018-12-01 01:49:55.0110,96,116,2416,Subscriber,1986,2
539,2018-12-01 01:43:42.0860,2018-12-01 01:52:41.3450,68,79,3630,Subscriber,1989,1
525,2018-12-01 01:43:51.2800,2018-12-01 01:52:36.7100,68,79,1461,Subscriber,1986,1
780,2018-12-01 01:46:01.1480,2018-12-01 01:59:01.7460,68,107,3949,Subscriber,1989,1
1176,2018-12-01 01:49:28.1970,2018-12-01 02:09:05.0600,6,116,3756,Subscriber,1984,2
361,2018-12-01 01:58:09.3620,2018-12-01 02:04:11.1060,110,116,3122,Subscriber,1988,1
733,2018-12-01 02:00:39.3760,2018-12-01 02:12:53.3640,114,79,134,Subscriber,1988,1
384,2018-12-01 02:01:21.9740,2018-12-01 02:07:46.5210,110,225,2972,Subscriber,1994,1
249,2018-12-01 02:04:09.2620,2018-12-01 02:08:18.6680,88,79,2060,Subscriber,1989,1
1310,2018-12-01 02:04:44.2400,2018-12-01 02:26:34.6240,67,96,2837,Subscriber,1990,1
1141,2018-12-01 02:17:32.1450,2018-12-01 02:36:33.7270,115,185,458,Subscriber,1989,1
303,2018-12-01 02:18:49.3910,2018-12-01 02:23:53.3060,88,71,2842,Subscriber,1982,1
198,2018-12-01 02:24:52.4290,2018-12-01 02:28:11.0640,332,41,2548,Subscriber,1998,2
577,2018-12-01 02:34:26.6390,2018-12-01 02:44:03.6880,189,76,3665,Subscriber,1985,2
1282,2018-12-01 02:34:39.4100,2018-12-01 02:56:01.8300,42,76,3219,Subscriber,1986,2
741,2018-12-01 02:39:13.8470,2018-12-01 02:51:35.1920,87,78,3380,Subscriber,1994,1
442,2018-12-01 02:48:18.6550,2018-12-01 02:55:40.7630,67,139,1021,Subscriber,1993,1
1048,2018-12-01 02:48:57.6600,2018-12-01 03:06:25.9630,54,342,843,Subscriber,1992,1
562,2018-12-01 02:54:58.2630,2018-12-01 03:04:20.6220,68,88,1074,Customer,1969,0
343,2018-12-01 03:03:42.8800,2018-12-01 03:09:26.2880,221,88,2198,Subscriber,1994,1
503,2018-12-01 03:32:21.3240,2018-12-01 03:40:44.6530,71,334,3123,Subscriber,1988,1
335,2018-12-01 03:41:31.3780,2018-12-01 03:47:06.8760,37,15,2642,Subscriber,1992,1
1413,2018-12-01 03:50:30.4150,2018-12-01 04:14:04.0020,221,139,1209,Subscriber,1990,1
693,2018-12-01 03:59:42.9780,2018-12-01 04:11:16.9560,41,86,4121,Subscriber,1977,2
520,2018-12-01 04:12:37.9500,2018-12-01 04:21:18.5810,99,330,3638,Subscriber,1987,1
259,2018-12-01 04:28:09.0420,2018-12-01 04:32:28.3030,179,139,4134,Subscriber,1988,1
273,2018-12-01 04:35:44.1270,2018-12-01 04:40:17.3680,131,282,3077,Subscriber,1991,1
1175,2018-12-01 05:11:02.7560,2018-12-01 05:30:38.0870,90,11,2957,Subscriber,1991,2
854,2018-12-01 06:03:55.7870,2018-12-01 06:18:10.6800,370,331,2761,Subscriber,1992,2
1058,2018-12-01 06:18:14.6970,2018-12-01 06:35:53.1510,90,11,2669,Subscriber,1989,1
786,2018-12-01 06:23:45.4100,2018-12-01 06:36:51.5130,133,12,2875,Subscriber,1995,2
598,2018-12-01 06:35:30.8400,2018-12-01 06:45:29.5410,79,149,2775,Subscriber,1968,1
394,2018-12-01 06:43:50.6340,2018-12-01 06:50:25.1870,69,11,1011,Subscriber,1990,1
413,2018-12-01 06:52:17.0540,2018-12-01 06:59:10.4860,332,10,2106,Subscriber,1992,1
367,2018-12-01 07:00:30.2730,2018-12-01 07:06:37.7720,88,107,4010,Subscriber,1994,2
907,2018-12-01 07:05:03.9990,2018-12-01 07:20:11.8190,91,68,2881,Customer,1995,2
384,2018-12-01 07:09:14.6610,2018-12-01 07:15:38.9860,74,176,3829,Subscriber,1998,1
1114,2018-12-01 07:13:17.2870,2018-12-01 07:31:52.2090,103,176,3931,Subscriber,1977,1
3364,2018-12-01 07:15:48.0240,2018-12-01 08:11:52.2780,233,233,2243,Subscriber,1969,1
393,2018-12-01 07:21:36.7150,2018-12-01 07:28:10.2970,221,139,3830,Subscriber,1996,1
150,2018-12-01 07:26:38.8870,2018-12-01 07:29:09.3430,30,160,4190,Subscriber,1995,2
499,2018-12-01 07:32:52.3410,2018-12-01 07:41:12.2060,88,89,4102,Subscriber,1994,1
851,2018-12-01 07:33:53.7590,2018-12-01 07:48:04.9990,195,227,3336,Subscriber,1988,2
422,2018-12-01 07:33:55.9210,2018-12-01 07:40:58.4620,335,96,3835,Subscriber,1998,1
621,2018-12-01 07:38:07.4980,2018-12-01 07:48:29.2760,11,46,2957,Subscriber,1990,2
1056,2018-12-01 07:38:40.5650,2018-12-01 07:56:16.8430,95,73,3230,Subscriber,1951,1
138,2018-12-01 07:38:53.1650,2018-12-01 07:41:11.5970,116,76,3387,Subscriber,1982,1
461,2018-12-01 07:40:25.3930,2018-12-01 07:48:06.8890,41,10,2397,Subscriber,1998,1
712,2018-12-01 07:41:12.2780,2018-12-01 07:53:04.6440,88,107,4107,Subscriber,1988,1
655,2018-12-01 07:47:11.6150,2018-12-01 07:58:07.4870,176,88,3931,Subscriber,1988,1
1400,2018-12-01 07:50:03.7650,2018-12-01 08:13:23.9380,227,39,3224,Subscriber,1984,1
1615,2018-12-01 07:53:49.6570,2018-12-01 08:20:45.1840,133,76,2919,Subscriber,1988,1
739,2018-12-01 07:54:18.2230,2018-12-01 08:06:38.1450,185,361,3954,Subscriber,1957,2
622,2018-12-01 07:55:24.2580,2018-12-01 08:05:46.5300,87,71,3907,Subscriber,1991,2
562,2018-12-01 07:57:47.6010,2018-12-01 08:07:10.0960,116,19,3833,Subscriber,1995,1
792,2018-12-01 07:57:50.7580,2018-12-01 08:11:03.5120,137,73,4130,Subscriber,1986,1
928,2018-12-01 07:59:14.1280,2018-12-01 08:14:42.3800,88,176,3636,Subscriber,1988,1
240,2018-12-01 07:59:50.6410,2018-12-01 08:03:51.3100,12,3,3693,Subscriber,1996,1
606,2018-12-01 08:03:04.2230,2018-12-01 08:13:10.5800,25,33,4152,Subscriber,1998,1
1190,2018-12-01 08:03:59.1180,2018-12-01 08:23:49.4870,17,16,2605,Subscriber,1991,2
327,2018-12-01 08:04:39.0440,2018-12-01 08:10:06.3780,87,74,4119,Subscriber,1986,1
780,2018-12-01 08:05:57.3520,2018-12-01 08:18:57.8280,33,13,2035,Subscriber,1989,1
1101,2018-12-01 08:08:25.8460,2018-12-01 08:26:47.7810,88,42,3284,Subscriber,1991,2
632,2018-12-01 08:09:49.8090,2018-12-01 08:20:22.7670,116,91,2416,Subscriber,1990,2
228,2018-12-01 08:10:34.6100,2018-12-01 08:14:23.4610,89,74,2456,Subscriber,1994,2
2308,2018-12-01 08:10:56.2950,2018-12-01 08:49:24.5960,99,85,2161,Customer,1989,2
1093,2018-12-01 08:11:16.8260,2018-12-01 08:29:29.9700,6,76,3383,Subscriber,1953,2
696,2018-12-01 08:12:17.5970,2018-12-01 08:23:53.7110,338,233,3731,Customer,1969,0
1114,2018-12-01 08:17:11.4040,2018-12-01 08:35:45.8380,3,54,3693,Subscriber,1994,1
513,2018-12-01 08:17:51.0940,2018-12-01 08:26:24.7090,10,19,2397,Subscriber,1971,1
650,2018-12-01 08:20:55.2960,2018-12-01 08:31:45.2990,115,87,3857,Subscriber,1990,1
393,2018-12-01 08:22:00.8290,2018-12-01 08:28:34.4510,160,21,2700,Subscriber,1992,1
422,2018-12-01 08:22:47.2320,2018-12-01 08:29:49.5220,95,76,2830,Subscriber,1986,1
415,2018-12-01 08:28:03.1510,2018-12-01 08:34:59.0440,233,9,2243,Subscriber,1997,1
398,2018-12-01 08:28:12.3550,2018-12-01 08:34:50.3560,233,9,2273,Customer,1969,0
227,2018-12-01 08:30:31.1770,2018-12-01 08:34:18.5360,104,74,2332,Subscriber,1999,1
513,2018-12-01 08:30:44.7940,2018-12-01 08:39:17.8850,361,58,2299,Subscriber,1983,1
310,2018-12-01 08:31:01.4030,2018-12-01 08:36:12.0740,8,41,4184,Subscriber,1967,2
2175,2018-12-01 08:32:34.2100,2018-12-01 09:08:49.9090,180,180,2297,Subscriber,1969,0
1608,2018-12-01 08:33:37.3270,2018-12-01 09:00:25.3920,224,5,3619,Subscriber,1998,1
302,2018-12-01 08:34:39.8660,2018-12-01 08:39:42.3960,116,177,3924,Subscriber,1993,1
1383,2018-12-01 08:38:34.7660,2018-12-01 09:01:38.1550,181,9,2016,Subscriber,1995,2
749,2018-12-01 08:38:53.3160,2018-12-01 08:51:22.3540,115,80,3887,Subscriber,1982,1
1333,2018-12-01 08:38:53.1690,2018-12-01 09:01:07.1670,68,66,4083,Subscriber,1997,1
549,2018-12-01 08:42:03.9180,2018-12-01 08:51:13.6120,137,108,2629,Subscriber,1988,2
495,2018-12-01 08:44:08.7220,2018-12-01 08:52:23.8890,177,73,2231,Subscriber,1993,1
373,2018-12-01 08:47:07.2580,2018-12-01 08:53:20.5600,17,15,3437,Subscriber,1991,1
1248,2018-12-01 08:47:25.0090,2018-12-01 09:08:13.3200,9,57,2243,Subscriber,1997,2
230,2018-12-01 08:47:31.6430,2018-12-01 08:51:22.6230,361,10,4023,Subscriber,1998,1
953,2018-12-01 08:49:05.7610,2018-12-01 09:04:59.7330,139,190,3738,Subscriber,1995,1
110,2018-12-01 08:49:59.5040,2018-12-01 08:51:50.3750,3,14,3660,Subscriber,1988,1
747,2018-12-01 08:50:36.1310,2018-12-01 09:03:04.0620,66,227,4073,Subscriber,1995,1
473,2018-12-01 08:54:03.1370,2018-12-01 09:01:56.2410,68,80,3675,Subscriber,1997,2
807,2018-12-01 08:56:29.0700,2018-12-01 09:09:57.0270,329,74,4203,Subscriber,1989,2
542,2018-12-01 08:58:36.7260,2018-12-01 09:07:38.7310,103,11,3649,Subscriber,1984,2
492,2018-12-01 08:59:30.6190,2018-12-01 09:07:42.7470,179,68,2418,Subscriber,1995,1
477,2018-12-01 09:00:56.8860,2018-12-01 09:08:54.3090,89,149,4102,Subscriber,1991,1
380,2018-12-01 09:01:49.8610,2018-12-01 09:08:10.0630,179,68,4118,Subscriber,1998,1
532,2018-12-01 09:02:46.7640,2018-12-01 09:11:39.2970,115,74,2309,Subscriber,1990,2
627,2018-12-01 09:03:36.2230,2018-12-01 09:14:03.7130,177,74,3928,Subscriber,1993,1
610,2018-12-01 09:04:14.2980,2018-12-01 09:14:24.7810,342,9,2551,Subscriber,1998,1
1080,2018-12-01 09:06:38.3910,2018-12-01 09:24:38.8000,159,352,2632,Subscriber,1992,1
2467,2018-12-01 09:06:57.9680,2018-12-01 09:48:05.4830,337,74,3950,Subscriber,1977,1
634,2018-12-01 09:07:10.4510,2018-12-01 09:17:45.3030,105,70,3754,Subscriber,1990,1
1118,2018-12-01 09:07:18.6470,2018-12-01 09:25:56.8160,360,12,1216,Subscriber,1998,1
2169,2018-12-01 09:07:36.5940,2018-12-01 09:43:45.9090,87,58,3210,Subscriber,1972,2
1095,2018-12-01 09:08:13.4220,2018-12-01 09:26:29.3310,233,59,3731,Subscriber,1989,1
1619,2018-12-01 09:09:09.6650,2018-12-01 09:36:09.5900,19,356,3833,Customer,1969,0
222,2018-12-01 09:09:47.1090,2018-12-01 09:13:29.1250,96,74,2516,Subscriber,1987,1
403,2018-12-01 09:10:36.1990,2018-12-01 09:17:19.4570,86,14,3603,Subscriber,1984,1
