Id,Number,Name,Latitude,Longitude,District,Public,Total docks
134,D32027,Boylston St at Dartmouth St,42.350413,-71.07655,Boston,Yes,15
372,D32046,Boylston St at Exeter St,42.34958942,-71.07946779,Boston,Yes,19
61,C32008,Boylston St at Fairfield St,42.348762,-71.082383,Boston,Yes,19
342,B32034,Boylston St at Jersey St,42.34465063,-71.09732501,Boston,Yes,15
55,B32018,Boylston St at Massachusetts Ave,42.34740621,-71.08678415,Boston,Yes,15
30,B32013,Brigham Circle - Francis St at Huntington Ave,42.33462893,-71.10407918,Boston,Yes,15
175,D32028,Brighton Center - Washington St at Cambridge St,42.34894857,-71.15027189,Boston,Yes,17
15,A32005,Brighton Mills - 370 Western Ave,42.36154571,-71.13776207,Boston,Yes,15
,A32047,Broad St at Central St,42.35849449,-71.0542647,Boston,Yes,15
397,V32011,Broadway at Beacham St,42.3983606,-71.06373843,Everett,Yes,8
234,S32016,Broadway at Central St,42.3951715,-71.09850592,Somerville,Yes,19
,H32004,Broadway at Gerrish Ave,42.39453079,-71.03085594,Chelsea,Yes,11
,L32004,Broadway at Grafton St,42.40994213,-71.1400932,Arlington,Yes,11
390,V32004,Broadway at Lynde St,42.39648358,-71.0654676,Everett,Yes,15
394,V32008,Broadway at Maple St,42.41034691,-71.05260458,Everett,Yes,14
194,S32014,Broadway St at Mt Pleasant St,42.38614141,-71.0782814,Somerville,Yes,19
193,K32005,Brookline Town Hall,42.33376473,-71.12046447,Brookline,Yes,15
86,K32003,Brookline Village - Station Street at MBTA,42.33274392,-71.11626681,Brookline,Yes,19
171,A32023,Bunker Hill Community College,42.37408991,-71.06905997,Boston,Yes,23
122,B32020,Burlington Ave at Brookline Ave,42.345733,-71.100694,Boston,Yes,15
,N32011,California at Chapel,42.36514871,-71.20236039,Newton,Yes,12
,M32077,Cambridge Crossing at North First Street,42.371141,-71.076198,Cambridge,Yes,23
225,M32052,Cambridge Dept. of Public Works -147 Hampshire St.,42.37119728,-71.09759867,Cambridge,Yes,19
96,M32013,Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075,Cambridge,Yes,19
