tripduration,starttime,stoptime,start station id,end station id,bikeid,usertype,birth year,gender
466,2019-01-01 10:31:36.6710,2019-01-01 10:39:22.8200,51,12,2647,Subscriber,1960,1
953,2019-01-01 10:31:34.4910,2019-01-01 10:47:27.9510,68,36,3329,Subscriber,1993,1
1142,2019-01-01 10:31:55.9630,2019-01-01 10:50:58.9210,66,87,3981,Subscriber,1997,1
2668,2019-01-01 10:38:17.9480,2019-01-01 11:22:46.3410,10,10,3870,Subscriber,1956,1
787,2019-01-01 10:45:00.8800,2019-01-01 10:58:08.5390,342,67,3983,Subscriber,1993,2
451,2019-01-01 10:46:59.6250,2019-01-01 10:54:31.2140,87,108,4168,Subscriber,1993,1
4172,2019-01-01 10:48:01.5750,2019-01-01 11:57:33.7200,221,182,2449,Customer,1969,0
4161,2019-01-01 10:48:27.6110,2019-01-01 11:57:49.2140,221,182,2126,Customer,1969,0
1549,2019-01-01 10:49:33.6790,2019-01-01 11:15:22.9710,12,51,2647,Subscriber,1960,1
3935,2019-01-01 10:50:44.5910,2019-01-01 11:56:20.3330,221,182,3020,Customer,1969,0
3822,2019-01-01 10:52:27.2380,2019-01-01 11:56:09.9050,221,182,3515,Customer,1969,0
3704,2019-01-01 10:55:10.8480,2019-01-01 11:56:55.6630,221,182,4479,Customer,1969,0
3658,2019-01-01 10:55:31.1190,2019-01-01 11:56:29.8930,221,182,2712,Customer,1969,0
498,2019-01-01 10:57:14.3690,2019-01-01 11:05:33.1200,180,74,4034,Subscriber,1979,1
443,2019-01-01 10:58:09.4210,2019-01-01 11:05:33.1640,180,74,3839,Subscriber,1974,2
876,2019-01-01 10:58:29.5920,2019-01-01 11:13:06.0580,118,74,3906,Subscriber,1995,2
394,2019-01-01 11:02:28.4780,2019-01-01 11:09:02.9270,338,41,2745,Subscriber,1990,1
2495,2019-01-01 11:03:16.5450,2019-01-01 11:44:52.0940,67,17,3894,Customer,1969,0
2333,2019-01-01 11:03:33.1670,2019-01-01 11:42:27.0990,67,17,3984,Customer,1969,0
1076,2019-01-01 11:06:30.3610,2019-01-01 11:24:26.7460,6,68,1844,Subscriber,1953,2
1608,2019-01-01 11:07:34.9120,2019-01-01 11:34:23.7230,58,105,3442,Subscriber,1984,1
1031,2019-01-01 11:10:32.9560,2019-01-01 11:27:44.7580,70,41,4383,Customer,1969,0
2646,2019-01-01 11:10:48.4930,2019-01-01 11:54:55.0250,95,88,4501,Subscriber,1989,1
2630,2019-01-01 11:11:03.4310,2019-01-01 11:54:53.8210,95,88,2108,Subscriber,1990,2
1355,2019-01-01 11:11:08.9060,2019-01-01 11:33:44.2530,225,115,3473,Subscriber,1994,1
3251,2019-01-01 11:12:45.3040,2019-01-01 12:06:56.9990,228,149,4447,Customer,1986,2
3208,2019-01-01 11:13:02.8170,2019-01-01 12:06:31.7250,228,149,3730,Customer,1986,2
3944,2019-01-01 11:13:31.1820,2019-01-01 12:19:15.6490,81,74,4515,Customer,1985,2
642,2019-01-01 11:14:35.8850,2019-01-01 11:25:18.6400,37,226,4525,Customer,1969,0
2177,2019-01-01 11:16:08.9700,2019-01-01 11:52:26.6200,16,71,3869,Subscriber,1991,1
358,2019-01-01 11:16:38.3630,2019-01-01 11:22:36.8790,88,80,2850,Subscriber,1989,1
675,2019-01-01 11:16:39.8850,2019-01-01 11:27:55.5850,12,25,3924,Subscriber,1960,2
2125,2019-01-01 11:16:59.8880,2019-01-01 11:52:25.4900,16,71,3954,Customer,1969,0
573,2019-01-01 11:17:00.3480,2019-01-01 11:26:33.6040,12,25,4528,Subscriber,1963,1
1165,2019-01-01 11:18:08.2920,2019-01-01 11:37:33.8540,91,105,3432,Subscriber,1975,1
117,2019-01-01 11:18:35.1540,2019-01-01 11:20:32.8660,74,74,3906,Subscriber,1974,2
1160,2019-01-01 11:18:42.0220,2019-01-01 11:38:02.9520,91,105,4004,Subscriber,1975,2
600,2019-01-01 11:20:12.1350,2019-01-01 11:30:12.2830,131,124,2829,Subscriber,1984,1
2313,2019-01-01 11:25:20.8960,2019-01-01 12:03:54.7440,84,342,3983,Subscriber,1993,2
257,2019-01-01 11:25:54.3970,2019-01-01 11:30:11.5990,221,110,3648,Subscriber,1986,1
591,2019-01-01 11:26:55.9490,2019-01-01 11:36:47.6290,139,91,3746,Subscriber,1993,1
565,2019-01-01 11:27:30.6970,2019-01-01 11:36:55.7470,139,91,3159,Customer,1995,2
323,2019-01-01 11:29:00.0620,2019-01-01 11:34:23.3660,377,108,2035,Subscriber,1988,1
1267,2019-01-01 11:30:32.3090,2019-01-01 11:51:39.9740,178,15,2665,Subscriber,1989,2
307,2019-01-01 11:30:24.1950,2019-01-01 11:35:31.3280,88,68,3240,Subscriber,1994,1
959,2019-01-01 11:31:57.0740,2019-01-01 11:47:56.1730,105,42,3955,Subscriber,1969,1
1607,2019-01-01 11:34:32.7950,2019-01-01 12:01:20.7200,193,80,2955,Subscriber,1983,2
896,2019-01-01 11:35:59.8730,2019-01-01 11:50:56.7630,234,71,3942,Subscriber,1992,1
226,2019-01-01 11:37:17.5590,2019-01-01 11:41:03.7470,160,30,4014,Subscriber,1991,1
1891,2019-01-01 11:38:18.6380,2019-01-01 12:09:50.2660,116,8,2953,Subscriber,1989,2
363,2019-01-01 11:38:19.2200,2019-01-01 11:44:22.8930,80,68,4379,Subscriber,1987,1
1492,2019-01-01 11:38:18.8210,2019-01-01 12:03:11.8080,102,97,3926,Customer,1969,0
1329,2019-01-01 11:38:38.5690,2019-01-01 12:00:48.2580,102,97,4028,Customer,1969,0
1935,2019-01-01 11:39:57.0420,2019-01-01 12:12:12.7940,338,180,2816,Subscriber,1992,2
434,2019-01-01 11:40:57.0890,2019-01-01 11:48:11.4420,89,68,3232,Subscriber,1988,1
346,2019-01-01 11:42:41.4000,2019-01-01 11:48:28.1230,33,36,4073,Subscriber,1994,1
552,2019-01-01 11:44:45.1880,2019-01-01 11:53:57.7290,68,185,3326,Subscriber,1990,1
403,2019-01-01 11:46:14.0330,2019-01-01 11:52:57.8900,361,10,2789,Subscriber,1996,1
347,2019-01-01 11:46:27.7060,2019-01-01 11:52:14.8630,88,68,262,Subscriber,1980,1
198,2019-01-01 11:47:17.8300,2019-01-01 11:50:36.5220,178,68,3684,Subscriber,1995,1
953,2019-01-01 11:51:46.0050,2019-01-01 12:07:39.8870,41,11,4383,Subscriber,1992,1
797,2019-01-01 11:51:56.2420,2019-01-01 12:05:13.7350,82,41,2387,Subscriber,1993,1
170,2019-01-01 11:52:12.1030,2019-01-01 11:55:02.8110,68,178,4379,Subscriber,1987,1
221,2019-01-01 11:54:30.7060,2019-01-01 11:58:12.0040,68,178,4076,Subscriber,1995,1
614,2019-01-01 11:55:09.5720,2019-01-01 12:05:24.0790,118,115,4507,Subscriber,1961,2
2462,2019-01-01 11:55:45.1310,2019-01-01 12:36:47.2530,190,105,3011,Subscriber,1991,1
