tripduration,starttime,stoptime,start station id,end station id,bikeid,usertype,birth year,gender
790,2019-12-01 00:01:25.3240,2019-12-01 00:14:35.3350,370,33,5133,Subscriber,1950,1
166,2019-12-01 00:05:42.8610,2019-12-01 00:08:29.3830,80,67,2653,Subscriber,1993,1
323,2019-12-01 00:08:28.5560,2019-12-01 00:13:52.4340,381,221,4875,Subscriber,1992,1
709,2019-12-01 00:08:38.5970,2019-12-01 00:20:27.6470,185,184,2116,Subscriber,1997,1
332,2019-12-01 00:10:08.8160,2019-12-01 00:15:41.0510,221,89,6156,Subscriber,1985,1
507,2019-12-01 00:14:26.2820,2019-12-01 00:22:53.3980,177,381,3981,Subscriber,1990,1
794,2019-12-01 00:17:46.9530,2019-12-01 00:31:01.8310,91,105,2408,Subscriber,1988,2
1354,2019-12-01 00:18:19.6990,2019-12-01 00:40:54.2900,116,409,3411,Subscriber,1992,1
676,2019-12-01 00:26:52.4870,2019-12-01 00:38:08.9950,68,141,4016,Subscriber,1987,2
535,2019-12-01 00:28:20.2370,2019-12-01 00:37:15.9020,87,184,5385,Subscriber,1993,1
1124,2019-12-01 00:29:56.2420,2019-12-01 00:48:40.5180,335,66,5028,Customer,1969,0
1553,2019-12-01 00:30:29.7160,2019-12-01 00:56:23.6030,14,378,4262,Subscriber,1993,2
1483,2019-12-01 00:31:02.0260,2019-12-01 00:55:45.1840,14,378,5615,Subscriber,1985,1
243,2019-12-01 00:36:20.8030,2019-12-01 00:40:24.5000,380,386,5687,Subscriber,1994,1
208,2019-12-01 00:43:06.3410,2019-12-01 00:46:35.2520,110,377,5009,Subscriber,1988,1
2043,2019-12-01 00:52:59.9750,2019-12-01 01:27:03.5420,413,413,4387,Subscriber,1993,1
535,2019-12-01 00:56:49.0460,2019-12-01 01:05:44.4830,69,361,2934,Subscriber,1998,1
712,2019-12-01 01:03:17.2600,2019-12-01 01:15:10.0130,367,330,3358,Subscriber,1989,1
967,2019-12-01 01:06:26.3250,2019-12-01 01:22:34.2310,6,139,5806,Customer,1969,0
287,2019-12-01 01:07:03.9950,2019-12-01 01:11:51.2430,107,178,4086,Subscriber,1989,1
479,2019-12-01 01:15:36.2980,2019-12-01 01:23:35.4570,67,60,6123,Subscriber,1992,1
1383,2019-12-01 01:19:32.6150,2019-12-01 01:42:35.6410,107,107,4714,Subscriber,2001,1
296,2019-12-01 01:21:39.6950,2019-12-01 01:26:36.1690,68,225,5696,Subscriber,1984,2
441,2019-12-01 01:23:27.0300,2019-12-01 01:30:48.2920,74,115,3111,Subscriber,1994,1
334,2019-12-01 01:23:44.1050,2019-12-01 01:29:18.3310,68,87,3849,Subscriber,1992,2
674,2019-12-01 01:29:03.4540,2019-12-01 01:40:17.7200,189,87,3934,Subscriber,1992,1
1011,2019-12-01 01:30:12.2770,2019-12-01 01:47:03.5040,361,175,5984,Customer,1969,0
681,2019-12-01 01:32:33.4520,2019-12-01 01:43:54.8780,356,437,5040,Subscriber,1991,1
1631,2019-12-01 02:00:35.5800,2019-12-01 02:27:47.3720,390,178,3882,Subscriber,1994,1
565,2019-12-01 02:08:52.9980,2019-12-01 02:18:18.3210,189,139,2206,Subscriber,1992,1
