tripduration,starttime,stoptime,start station id,end station id,bikeid,usertype,birth year,gender
331,2019-02-01 00:03:56.3250,2019-02-01 00:09:28.1720,108,377,3817,Subscriber,1988,1
505,2019-02-01 00:27:46.6400,2019-02-01 00:36:12.2790,95,76,2126,Subscriber,1994,1
417,2019-02-01 00:28:22.8980,2019-02-01 00:35:20.6070,73,181,2557,Subscriber,1972,1
318,2019-02-01 00:40:19.0490,2019-02-01 00:45:37.2200,74,378,2569,Subscriber,1988,1
597,2019-02-01 00:46:06.5440,2019-02-01 00:56:03.8300,74,115,3027,Subscriber,1985,2
658,2019-02-01 00:54:18.4810,2019-02-01 01:05:16.9830,12,282,1667,Subscriber,1996,1
498,2019-02-01 01:01:16.8820,2019-02-01 01:09:35.2240,364,27,4343,Subscriber,1998,1
519,2019-02-01 01:55:38.9390,2019-02-01 02:04:18.4770,107,68,2530,Subscriber,1997,1
810,2019-02-01 04:02:29.4570,2019-02-01 04:16:00.4060,41,193,3350,Subscriber,1977,2
203,2019-02-01 05:12:47.5590,2019-02-01 05:16:10.9330,116,76,3534,Subscriber,1993,1
450,2019-02-01 05:20:32.9760,2019-02-01 05:28:03.4160,17,15,3784,Subscriber,1991,1
1894,2019-02-01 05:27:46.4400,2019-02-01 05:59:20.7690,31,9,4376,Subscriber,1981,1
1274,2019-02-01 06:04:24.2540,2019-02-01 06:25:38.8500,195,9,3606,Subscriber,1988,2
269,2019-02-01 06:08:16.3920,2019-02-01 06:12:45.6530,87,76,2855,Subscriber,1986,1
229,2019-02-01 06:12:30.7840,2019-02-01 06:16:19.8900,104,74,3768,Subscriber,1982,1
853,2019-02-01 06:17:48.0270,2019-02-01 06:32:01.4120,115,91,3757,Subscriber,1968,1
370,2019-02-01 06:22:07.2720,2019-02-01 06:28:17.9380,71,115,3627,Subscriber,1987,1
323,2019-02-01 06:25:37.8990,2019-02-01 06:31:00.9250,359,160,2324,Subscriber,1997,1
796,2019-02-01 06:33:26.8190,2019-02-01 06:46:43.1770,14,16,2112,Subscriber,1992,2
670,2019-02-01 06:39:07.9060,2019-02-01 06:50:17.9830,131,159,3793,Subscriber,1984,2
686,2019-02-01 06:42:53.9310,2019-02-01 06:54:20.1810,377,117,3361,Customer,1983,1
428,2019-02-01 06:45:47.8810,2019-02-01 06:52:56.5070,342,11,2533,Subscriber,1984,1
277,2019-02-01 06:46:44.1360,2019-02-01 06:51:21.8610,3,19,2903,Subscriber,1991,2
603,2019-02-01 06:48:25.3300,2019-02-01 06:58:29.2910,15,17,3784,Subscriber,1991,1
443,2019-02-01 06:52:31.8820,2019-02-01 06:59:55.7930,19,9,2903,Subscriber,1991,2
984,2019-02-01 06:52:45.8270,2019-02-01 07:09:10.6420,91,9,3503,Subscriber,1992,1
724,2019-02-01 07:00:35.1810,2019-02-01 07:12:39.8860,51,11,3769,Subscriber,1992,1
1932,2019-02-01 07:04:11.4660,2019-02-01 07:36:23.7900,15,370,4447,Subscriber,1964,2
1657,2019-02-01 07:04:30.8910,2019-02-01 07:32:08.1080,121,10,4215,Subscriber,1963,1
1154,2019-02-01 07:06:52.7920,2019-02-01 07:26:07.0560,201,11,4144,Subscriber,1989,1
307,2019-02-01 07:07:43.1780,2019-02-01 07:12:50.5910,176,89,4169,Subscriber,1992,2
784,2019-02-01 07:08:04.4600,2019-02-01 07:21:09.3500,87,33,3858,Subscriber,1990,1
1362,2019-02-01 07:08:29.7570,2019-02-01 07:31:12.5760,41,143,2969,Subscriber,1985,1
1286,2019-02-01 07:09:13.1730,2019-02-01 07:30:39.5720,377,46,2626,Subscriber,1987,1
1106,2019-02-01 07:09:51.0620,2019-02-01 07:28:18.0400,12,67,3231,Subscriber,1996,1
1216,2019-02-01 07:14:40.3060,2019-02-01 07:34:57.1840,115,117,3627,Subscriber,1969,1
2106,2019-02-01 07:15:22.2850,2019-02-01 07:50:29.0270,190,12,4498,Subscriber,1968,2
170,2019-02-01 07:18:46.3910,2019-02-01 07:21:36.4640,116,76,2712,Subscriber,1989,1
1267,2019-02-01 07:20:04.8900,2019-02-01 07:41:12.7040,9,190,4376,Subscriber,1977,1
367,2019-02-01 07:25:23.8010,2019-02-01 07:31:31.2740,332,9,3683,Subscriber,1953,1
